Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - report_spam_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - report_spam_clicks
166732733367182_1705141736192933,https://www.facebook.com/UFHSCL/posts/1705141736192933,A puzzling puzzle- we finished the Frog puzzle... but one piece was missing.  Was it missing from the start or lost in the process?  Check out all the embedded little shapes!  And come work on the new puzzle- manatees.,Photo,,,7/25/2017 7:41, ,104,78,0,144,111,0,11,7,16,0,0,105,75,0,0,6,0,0,0,0,0,0,0,0,0,0,6,,,6,,,,7,,,16,,,,,,,,,
166732733367182_1685404738166633,https://www.facebook.com/UFHSCL/posts/1685404738166633,We'll be starting renovations in our second floor conference rooms and an adjacent area soon.  For more information see: http://guides.uflib.ufl.edu/space,Link,,,7/10/2017 6:28, ,37,37,0,56,56,0,0,0,0,0,0,54,36,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1679413448765762,https://www.facebook.com/UFHSCL/posts/1679413448765762,UF Health Science Center Libraries,Status,,,7/5/2017 14:00, ,23,23,0,34,34,0,1,1,1,0,0,32,22,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,,1,,,,,,,,,,
166732733367182_1668271166546657,https://www.facebook.com/UFHSCL/posts/1668271166546657,UF Health Science Center Libraries,Link,,,6/27/2017 12:16, ,19,19,0,27,27,0,0,0,0,0,0,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1668024839904623,https://www.facebook.com/UFHSCL/posts/1668024839904623,UF Health Science Center Libraries,Photo,,,6/27/2017 8:02, ,27,27,0,42,42,0,0,0,0,0,0,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1655183734522067,https://www.facebook.com/UFHSCL/posts/1655183734522067,UF Health Science Center Libraries,Photo,,,6/16/2017 12:44, ,24,24,0,44,44,0,0,0,0,0,0,42,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1655154347858339,https://www.facebook.com/UFHSCL/posts/1655154347858339,UF Health Science Center Libraries,Photo,,,6/16/2017 12:13, ,22,22,0,31,31,0,0,0,0,0,0,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1654210637952710,https://www.facebook.com/UFHSCL/posts/1654210637952710,UF Health Science Center Libraries,Link,,,6/15/2017 17:06, ,27,26,0,44,40,0,0,0,0,0,0,43,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1650347478339026,https://www.facebook.com/UFHSCL/posts/1650347478339026,"Remember: our FREE comic-creation workshop is TOMORROW from 6-9pm at the Sequential Artist Workshop on 710 SE 2nd Street, across from Depot Park &amp; Rosa Parks bus station! 

Come learn how to use comics and graphic novel art to create a healthier community!  

Learn more: http://guides.uflib.ufl.edu/graphic-novel-contest",Link,,,6/12/2017 14:32, ,244,31,0,387,45,0,16,10,18,0,0,72,41,0,0,5,0,0,0,0,0,0,0,0,0,0,6,3,,6,3,,10,,,18,,,,,,,,,,
166732733367182_1645349785505462,https://www.facebook.com/UFHSCL/posts/1645349785505462:0,"Learn more about creating visual narratives that address community health concerns and making a positive difference in the community through published works!

This Tuesday, June 13th, from 6-9pm,  come join others interested in using comics and art to promote health, and learn about the process of creating graphic novels from renowned Sequential Artists Workshop faculty.  Health science librarians will also present on finding HIV/AIDS information online to use in graphic novels.  The workshop is free and open to the public – all skill levels welcome!

What: Graphic Novel Creation Workshop
When: Tuesday, June 13th, 6-9pm
Where: New Sequential Artists Workshop Building, 710 SE 2nd St, Gainesville, FL 32601

This workshop is part of an HIV/AIDS graphic novel contest hosted by the UF Health Science Center Libraries, in collaboration with the Sequential Artists Workshop.  Learn more about the contest here: http://guides.uflib.ufl.edu/graphic-novel-contest.",Photo,,,6/8/2017 14:12, ,199,190,0,278,259,0,3,2,5,0,0,167,113,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,,,2,,,5,,,,,,,,,
166732733367182_1640804495959991,https://www.facebook.com/UFHSCL/posts/1640804495959991,"Looking to escape the heat (or, in the afternoon, torrential rains)?  Chill in the HSC Library and work on our latest puzzle!",Photo,,,6/5/2017 8:19, ,140,60,0,255,91,0,12,10,21,0,0,99,59,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,3,8,3,,18,3,,,,,,,,,
166732733367182_1617501198290321,https://www.facebook.com/UFHSCL/posts/1617501198290321:0,"Attention all artists, health promoters, and those interested in making a difference in their community!  

The HSCL is hosting a graphic novel contest this summer to promote HIV/AIDS education resources, like AIDSource (https://aids.nlm.nih.gov/).  We'll be taking the top submissions and publishing them in a collection that will be shared throughout Gainesville &amp; Jacksonville!  If you're interested in medicine, public health, or just helping your friends and neighbors make healthy choices, check out the contest guidlines here: https://goo.gl/fQ2km5.",Photo,,,5/17/2017 14:55, ,479,398,0,817,667,0,11,9,17,0,0,431,227,0,0,7,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,,5,5,1,8,8,1,,,,,,,,
166732733367182_1609495885757519,https://www.facebook.com/UFHSCL/posts/1609495885757519,UF Health Science Center Libraries,Link,,,5/11/2017 8:52, ,30,30,0,50,50,0,1,1,1,0,0,46,29,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,1,,,,,,,,
166732733367182_1601656423208132,https://www.facebook.com/UFHSCL/posts/1601656423208132,UF Health Science Center Libraries,Link,,,5/5/2017 14:36, ,30,30,0,46,46,0,1,1,2,0,0,42,29,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,1,1,,1,,,,,,,,
166732733367182_1601371586569949,https://www.facebook.com/UFHSCL/posts/1601371586569949,Check out this collaborative art show at the Criser Cancer Resource Center!,Photo,,,5/5/2017 9:27, ,25,25,0,29,29,0,0,0,0,0,0,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1600244700015971,https://www.facebook.com/UFHSCL/posts/1600244700015971,UF Health Science Center Libraries,Link,,,5/4/2017 13:55, ,22,22,0,31,31,0,0,0,0,0,0,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
