Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,,,,,,
166732733367182_1863681157005656,https://www.facebook.com/UFHSCL/posts/1863681157005656,UF Health Science Center Libraries,Photo,,,12/4/2017 16:44, ,58,58,0,98,98,0,7,4,8,0,0,94,55,0,0,6,0,0,0,0,0,0,0,0,0,0,,3,,,3,,3,3,,,4,4,,,,,,,,
166732733367182_1863576537016118,https://www.facebook.com/UFHSCL/posts/1863576537016118,"If you're planning on late nights as you study for finals, you can come to the HSC library this Friday and Saturday - we're open until 11:30pm!  And as always, if you have registered, our 24/7 access is available to you as well.  Registration info is available here: http://library.health.ufl.edu/about-us/library-user-policies/24hr-study-space/",Photo,,,12/4/2017 14:31, ,38,38,0,58,58,0,2,2,2,0,0,54,35,0,0,2,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,2,,,,2,,,,,,,,
166732733367182_1858068637566908,https://www.facebook.com/UFHSCL/posts/1858068637566908,Don’t forget! Tonight all of our HIV/AIDS Graphic Novel Contest entries will be beautifully displayed at Sequential Artists Workshop's gallery during Artwalk Gainesville! Drop by between 7-10pm as part of your commemoration of World AIDS Day – enjoy some refreshments and learn more about HIV prevention and treatment. #HIVAwareUF,Link,,,12/1/2017 5:00, ,50,50,0,69,69,0,1,0,0,0,0,66,47,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,,,,,,
166732733367182_1820010341372738,https://www.facebook.com/UFHSCL/posts/1820010341372738,Education and regular testing are key parts of prevention. Learn more about how we can stop HIV together here: https://www.cdc.gov/features/LetsStopHIV/ #HIVAwareUF,Link,,,11/30/2017 5:40, ,36,36,0,56,56,0,1,0,0,0,0,54,34,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,,,,,,
166732733367182_1820004574706648,https://www.facebook.com/UFHSCL/posts/1820004574706648,"Supporting friends, family, or coworkers who are HIV positive is important.  If someone you know tells you they have the virus, ACKNOWLEDGE, ASK, REASSURE, and LEARN.  For more information, https://www.hiv.gov/hiv-basics/overview/making-a-difference/supporting-someone-living-with-hiv #HIVAwareUF",Link,,,11/29/2017 14:33, ,44,44,0,67,67,0,2,0,0,0,0,65,42,0,0,2,0,0,0,0,0,0,0,0,0,0,,2,,,2,,,,,,,,,,,,,,,
166732733367182_1845633105477128,https://www.facebook.com/UFHSCL/posts/1845633105477128,"Take some time to calm your mind!

The HSC Library will be hosting a meditation session every Wednesday from 12:15 until 12:45 in HSCL C3-72.  All are welcome to attend. Optional instruction in a simple, easy-to-learn mantra meditation technique will be offered from 12-12:15 on the 2nd and 4th Wednesday of the month.",Photo,,,11/29/2017 5:32, ,49,49,0,66,66,0,2,1,1,0,0,60,44,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,1,,,,1,,,,,,,,
166732733367182_1820025671371205,https://www.facebook.com/UFHSCL/posts/1820025671371205,"To help keep HIV+ families healthy, doctors at UF College of Medicine-Jacksonville's Center for HIV/AIDS Research, Education &amp; Services (CARES) are working to provide comprehensive pediatric and family focused treatment for HIV/AIDS.  https://hscj.ufl.edu/pediatrics/ufcares/  #HIVAwareUF",Photo,,,11/29/2017 4:54, ,58,58,0,81,81,0,4,1,1,0,0,75,53,0,0,3,0,0,0,0,0,0,0,0,0,0,,3,,,3,,,1,,,,1,,,,,,,,
166732733367182_1820022684704837,https://www.facebook.com/UFHSCL/posts/1820022684704837,"Despite all of the advances made in HIV prevention and treatment, Florida is still struggling to prevent the spread of HIV.  The Southern HIV and Alcohol Research Consortium (SHARC, http://sharc-research.org/) works with at-risk people in Florida to help prevent HIV transmission and to improve the health of people with HIV.  #HIVAwareUF",Photo,,,11/28/2017 8:49, ,40,40,0,55,55,0,5,2,2,0,0,52,37,0,0,3,0,0,0,0,0,0,0,0,0,0,,3,,,3,,,2,,,,2,,,,,,,,
166732733367182_1819990621374710,https://www.facebook.com/UFHSCL/posts/1819990621374710,"Ariel Pomputius describes the progress that doctors and scientists have made in treating HIV over the last thirty years in her HIV/AIDS Graphic Novel Contest entry. Learn how far we’ve come, and how much farther we have to go: https://goo.gl/vwX7mB. #HIVAwareUF",Photo,,,11/27/2017 4:18, ,322,164,158,491,330,161,12,5,8,1,1,120,81,32,31,6,0,0,0,0,0,0,0,0,0,0,2,8,,2,9,,4,2,1,,4,2,2,,1,,,1,,
166732733367182_1820014571372315,https://www.facebook.com/UFHSCL/posts/1820014571372315,"In addition to looking for a vaccine for HIV, scientists at UF College of Medicine are working to improve the quality of life of those living with HIV.  This year, Dr. Carla Mavian won an award from UF to research new ways to measure the presence of HIV that don’t require a blood test.  Learn more about Dr. Mavian’s research and the award here: https://goo.gl/F92Q1M. #HIVAwareUF",Photo,,,11/24/2017 8:45, ,53,53,0,82,82,0,1,0,0,2,2,76,49,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,2,,,2,,
166732733367182_1848685571838548,https://www.facebook.com/UFHSCL/posts/1848685571838548,World AIDS Day: Their Stories,Link,,,11/23/2017 19:29, ,74,74,0,137,137,0,6,4,4,0,0,130,71,0,0,6,0,0,0,0,0,0,0,0,0,0,,2,,,2,,4,,,,4,,,,,,,,,
166732733367182_1820009774706128,https://www.facebook.com/UFHSCL/posts/1820009774706128,"Even if you and people you know are not HIV positive, you can still do your part to stand up to stigma. Learning more about HIV positive people living healthy lives, educating yourself about the virus, and encouraging others to do the same are small steps toward overcoming myth, stereotypes, and discrimination. https://www.hiv.gov/hiv-basics/overview/making-a-difference/standing-up-to-stigma #HIVAwareUF",Link,,,11/23/2017 4:39, ,48,48,0,60,60,0,1,0,0,1,1,57,46,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,1,,,1,,
166732733367182_1819997924707313,https://www.facebook.com/UFHSCL/posts/1819997924707313,Our friends at Rural Women's Health Project shared their stories with us about being HIV+ and the benefits of the Let’s Talk About It support group. The HSC Library produced this in partnership with UF Center for Arts in Medicine/UF Health Shands Arts in Medicine.  #HIVAwareUF,Link,,,11/22/2017 13:26, ,1682,49,1646,4192,77,4115,39,27,35,1,1,492,145,421,111,17,0,0,0,0,0,0,0,0,0,0,,15,,,17,,21,,3,3,25,,4,4,1,,,1,,
166732733367182_1845730668800705,https://www.facebook.com/UFHSCL/posts/1845730668800705,"As part of the HSC Library’s showing of the National Library of Medicine Exhibit: “Binding Wounds, Pushing Boundaries: African Americans in Civil War Medicine”, we are proud to host Dr. William Link, author of &quot;Southern Crucible: The Making of an American Region&quot;, as he speaks about slavery in the context of the Civil War and its implications for African Americans through the Civil Rights Movement.  Details below: 

Wednesday, November 29th 
12 – 1pm
Communicore Building, Room C1-3",Photo,,,11/22/2017 9:03, ,175,175,0,302,302,0,13,9,11,0,0,79,52,0,0,7,0,0,0,0,0,0,0,0,0,0,2,3,1,2,4,1,7,2,,,8,3,,,,,,,,
166732733367182_1845631735477265,https://www.facebook.com/UFHSCL/posts/1845631735477265,"Take some time to calm your mind!

The HSC Library will be hosting a meditation session every Wednesday from 12:15 until 12:45 in HSCL C3-72.  All are welcome to attend. Optional instruction in a simple, easy-to-learn mantra meditation technique will be offered from 12-12:15 on the 2nd and 4th Wednesday of the month.",Photo,,,11/22/2017 5:30, ,77,77,0,150,150,0,2,0,0,1,1,78,43,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,,,,,,,,,,1,,,1,,
166732733367182_1819994308041008,https://www.facebook.com/UFHSCL/posts/1819994308041008,"For those who might be exposed to HIV, taking PrEP on a regular basis can reduce the risk of infection. For those who know they have been exposed, taking PEP with 72-hours can reduce the risk of infection. #HIVAwareUF

Learn more at: 
https://aidsinfo.nih.gov/understanding-hiv-aids/fact-sheets/20/85/pre-exposure-prophylaxis--prep- 
https://aidsinfo.nih.gov/understanding-hiv-aids/fact-sheets/20/87/post-exposure-prophylaxis--pep-",Link,,,11/21/2017 9:23, ,53,53,0,69,69,0,2,0,0,1,1,65,49,0,0,2,0,0,0,0,0,0,0,0,0,0,,2,,,2,,,,,,,,,,1,,,1,,
166732733367182_1835250643182041,https://www.facebook.com/UFHSCL/posts/1835250643182041,Happy Thanksgiving!  Here are the modified HSC Library Hours this week:,Photo,,,11/20/2017 6:47, ,116,116,0,160,160,0,0,0,0,0,0,108,72,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1819989834708122,https://www.facebook.com/UFHSCL/posts/1819989834708122,Marcel Fundora challenges the stigma and myths surrounding HIV infection in his HIV/AIDS Graphic Novel Contest entry.  Check out the full comic here: https://goo.gl/XPjTBz.  #HIVAwareUF,Photo,,,11/20/2017 5:17, ,4443,212,4259,5792,319,5473,264,251,305,0,0,309,171,143,94,8,0,0,0,0,0,0,0,0,0,0,,17,5,,17,6,11,187,81,,13,198,94,,,,,,,
166732733367182_1739418026098637,https://www.facebook.com/UFHSCL/posts/1739418026098637,"On Friday, Phred takes a break to read a book. Learning more about the human psyche is always on his mind!
#FriYAY! #PhrenologyPhred",Photo,,,11/17/2017 13:02, ,124,124,0,196,196,0,1,1,2,0,0,126,78,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,1,,,,2,,,,,,,,
166732733367182_1819985091375263,https://www.facebook.com/UFHSCL/posts/1819985091375263,"Learn how to STOP: plan ahead, talk with your partners, and use protection to prevent HIV through this spoken word performance that the HSC Library made with our friends at UF Center for Arts in Medicine/UF Health Shands Arts in Medicine.  #HIVAwareUF",Link,,,11/17/2017 9:11, ,1630,173,1476,3578,265,3313,31,20,25,0,0,373,151,259,93,6,0,0,0,0,0,0,0,0,0,0,2,11,2,2,11,2,11,,4,3,14,,4,3,,,,,,
